Term,Description,text
Password,Information about password used in the process of authenticating the individual as an user accessing a system.,Password: information about password used in the process of authenticating the individual as an user accessing a system
PIN Code,"Information about Personal identification number (PIN), which is usually used in the process of authenticating the individual as an user accessing a system.",PIN Code: usually used in the process of authenticating the individual as an user accessing a system
Secret Text,"Information about secret text used in the process of authenticating the individual as an user accessing a system, e.g., when recovering a lost password.","Secret Text: information about secret text used in the process of authenticating the individual as an user accessing a system, e.g., when recovering a lost password"
Philosophical Belief,Information about philosophical beliefs.,Philosophical Belief: information about philosophical beliefs
Religious Belief,Information about religion and religious beliefs.,Religious Belief: information about religion and religious beliefs
Thought,Information about thoughts,Thought: information about thoughts
Favorite,Information about favorites,Favorite: information about favorites
Intention,Information about intentions,Intention: information about intentions
Interest,Information about interests,Interest: information about interests
Opinion,Information about opinions,Opinion: information about opinions
Privacy Preference,Information about privacy preferences,Privacy Preference: information about privacy preferences
Attitude,Information about attitude.,Attitude: information about attitude
Authentication History,Information about prior authentication and its outcomes such as login attempts or location.,Authentication History: information about prior authentication and its outcomes such as login attempts or location
Browsing Behavior,Information about browsing Behavior.,Browsing Behavior: information about browsing behavior
Call Log,Information about the calls that an individual has made.,Call Log: information about the calls that an individual has made
Demeanor,Information about demeanor.,Demeanor: information about demeanor
Link Clicked,Information about the links that an individual has clicked.,Link Clicked: information about the links that an individual has clicked
Personality,"Information about personality (e.g., categorization in terms of the Big Five personality traits)","Personality: information about personality (e.g., categorization in terms of the big five personality traits)"
Reliability,Information about reliability (e.g. of a person),Reliability: information about reliability (e.g. of a person)
Service Consumption Behavior,"Information about the consumption of a service, e.g. time and duration of consumption.","Service Consumption Behavior: information about the consumption of a service, e.g. time and duration of consumption"
Citizenship,Information about citizenship,Citizenship: information about citizenship
Geographic,Information about location or based on geography (e.g. home address),Geographic: information about location or based on geography (e.g. home address)
Income Bracket,Information about income bracket.,Income Bracket: information about income bracket
Physical Trait,Information about defining traits or features regarding the body.,Physical Trait: information about defining traits or features regarding the body
Ethnic Origin,Information about ethnic origin,Ethnic Origin: information about ethnic origin
Race,Information about race or racial history.,Race: information about race or racial history
Biometric,Information about biometrics and biometric characteristics.,Biometric: information about biometrics and biometric characteristics
Name,Information about names associated or used as given name or nickname.,Name: information about names associated or used as given name or nickname
Official ID,Information about an official identifier or identification document,Official ID: information about an official identifier or identification document
Picture,Information about visual representation or image e.g. profile photo.,Picture: information about visual representation or image e.g. profile photo
UID,Information about unique identifiers.,UID: information about unique identifiers
Username,Information about usernames.,Username: information about usernames
Accent,Information about linguistic and speech accents.,Accent: information about linguistic and speech accents
Dialect,Information about linguistic dialects.,Dialect: information about linguistic dialects
Blood Type,Information about blood type.,Blood Type: information about blood type
Disability,Information about disabilities.,Disability: information about disabilities
DNA Code,Information about DNA.,DNA Code: information about dna
Drug Test Result,Information about drug test results.,Drug Test Result: information about drug test results
Health,Information about health.,Health: information about health
Health History,Information about health history.,Health History: information about health history
Health Record,Information about health record.,Health Record: information about health record
Prescription,Information about medical and pharmaceutical prescriptions,Prescription: information about medical and pharmaceutical prescriptions
Nationality,Information about nationality,Nationality: information about nationality
Personal Documents,Information about and including personal documents e.g. diaries or journals,Personal Documents: information about and including personal documents e.g. diaries or journals
Age,Information about age,Age: information about age
Gender,Information about gender,Gender: information about gender
Hair Color,Information about hair color,Hair Color: information about hair color
Height,Information about physical height,Height: information about physical height
Piercing,Information about piercings,Piercing: information about piercings
Skin Tone,Information about skin tone,Skin Tone: information about skin tone
Tattoo,Information about tattoos,Tattoo: information about tattoos
Weight,Information about physical weight,Weight: information about physical weight
Fetish,Information about an individual's sexual fetishes,Fetish: information about an individual's sexual fetishes
Proclivity,Information about proclivities in a sexual context,Proclivity: information about proclivities in a sexual context
Sexual History,Information about sexual history,Sexual History: information about sexual history
Sexual Preference,Information about sexual preferences,Sexual Preference: information about sexual preferences
Vehicle License,Information about vehicle license,Vehicle License: information about vehicle license
